x_float,tanh_ref,pwl_liu,pwl_v2,ae_liu,ae_v2
-3.113281,-0.996055,-1.000000,-0.889160,0.003945,0.106895
-3.109375,-0.996024,-1.000000,-0.888672,0.003976,0.107353
-3.105469,-0.995993,-1.000000,-0.888184,0.004007,0.107810
-3.101562,-0.995962,-1.000000,-0.887695,0.004038,0.108267
-3.097656,-0.995930,-1.000000,-0.887207,0.004070,0.108723
-3.093750,-0.995899,-1.000000,-0.886719,0.004101,0.109180
-3.089844,-0.995866,-1.000000,-0.886230,0.004134,0.109636
-3.085938,-0.995834,-1.000000,-0.885742,0.004166,0.110092
-3.082031,-0.995801,-1.000000,-0.885254,0.004199,0.110548
-3.078125,-0.995769,-1.000000,-0.884766,0.004231,0.111003
-3.074219,-0.995735,-1.000000,-0.884277,0.004265,0.111458
-3.070312,-0.995702,-1.000000,-0.883789,0.004298,0.111913
-3.066406,-0.995668,-1.000000,-0.883301,0.004332,0.112368
-3.062500,-0.995635,-1.000000,-0.882812,0.004365,0.112822
-3.058594,-0.995600,-1.000000,-0.882324,0.004400,0.113276
-3.054688,-0.995566,-1.000000,-0.881836,0.004434,0.113730
-3.050781,-0.995531,-1.000000,-0.881348,0.004469,0.114184
-3.046875,-0.995496,-1.000000,-0.880859,0.004504,0.114637
-3.042969,-0.995461,-1.000000,-0.880371,0.004539,0.115090
-3.039062,-0.995426,-1.000000,-0.879883,0.004574,0.115543
-3.035156,-0.995390,-1.000000,-0.879395,0.004610,0.115995
-3.031250,-0.995354,-1.000000,-0.878906,0.004646,0.116447
-3.027344,-0.995317,-1.000000,-0.878418,0.004683,0.116899
-3.023438,-0.995281,-1.000000,-0.877930,0.004719,0.117351
-3.019531,-0.995244,-1.000000,-0.877441,0.004756,0.117802
-3.015625,-0.995207,-1.000000,-0.876953,0.004793,0.118253
-3.011719,-0.995169,-1.000000,-0.876465,0.004831,0.118704
-3.007812,-0.995131,-1.000000,-0.875977,0.004869,0.119155
-3.003906,-0.995093,-1.000000,-0.875488,0.004907,0.119605
-3.000000,-0.995055,-1.000000,-0.875000,0.004945,0.120055
-2.996094,-0.995016,-1.000000,-0.874512,0.004984,0.120504
-2.992188,-0.994977,-1.000000,-0.874023,0.005023,0.120954
-2.988281,-0.994938,-1.000000,-0.873535,0.005062,0.121403
-2.984375,-0.994898,-1.000000,-0.873047,0.005102,0.121851
-2.980469,-0.994858,-1.000000,-0.872559,0.005142,0.122300
-2.976562,-0.994818,-1.000000,-0.872070,0.005182,0.122748
-2.972656,-0.994778,-1.000000,-0.871582,0.005222,0.123195
-2.968750,-0.994737,-1.000000,-0.871094,0.005263,0.123643
-2.964844,-0.994695,-1.000000,-0.870605,0.005305,0.124090
-2.960938,-0.994654,-1.000000,-0.870117,0.005346,0.124537
-2.957031,-0.994612,-1.000000,-0.869629,0.005388,0.124983
-2.953125,-0.994570,-1.000000,-0.869141,0.005430,0.125429
-2.949219,-0.994528,-1.000000,-0.868652,0.005472,0.125875
-2.945312,-0.994485,-1.000000,-0.868164,0.005515,0.126321
-2.941406,-0.994442,-1.000000,-0.867676,0.005558,0.126766
-2.937500,-0.994398,-1.000000,-0.867188,0.005602,0.127211
-2.933594,-0.994354,-1.000000,-0.866699,0.005646,0.127655
-2.929688,-0.994310,-1.000000,-0.866211,0.005690,0.128099
-2.925781,-0.994266,-1.000000,-0.865723,0.005734,0.128543
-2.921875,-0.994221,-1.000000,-0.865234,0.005779,0.128986
-2.917969,-0.994176,-1.000000,-0.864746,0.005824,0.129430
-2.914062,-0.994130,-1.000000,-0.864258,0.005870,0.129872
-2.910156,-0.994084,-1.000000,-0.863770,0.005916,0.130315
-2.906250,-0.994038,-1.000000,-0.863281,0.005962,0.130757
-2.902344,-0.993991,-1.000000,-0.862793,0.006009,0.131198
-2.898438,-0.993944,-1.000000,-0.862305,0.006056,0.131640
-2.894531,-0.993897,-1.000000,-0.861816,0.006103,0.132081
-2.890625,-0.993849,-1.000000,-0.861328,0.006151,0.132521
-2.886719,-0.993801,-1.000000,-0.860840,0.006199,0.132961
-2.882812,-0.993753,-1.000000,-0.860352,0.006247,0.133401
